name,☺,✋,✌,✨,❤,🎵,🎶,👀,👊,👌,👍,👏,💀,💁,💓,💔,💕,💖,💙,💛,💜,💪,💯,🔫,😁,😂,😄,😅,😈,😉,😊,😋,😌,😍,😎,😏,😐,😑,😒,😓,😔,😕,😖,😘,😜,😞,😠,😡,😢,😣,😤,😩,😪,😫,😬,😭,😳,😴,😷,🙅,🙈,🙊,🙌,🙏
Craft The World - Sisters in Arms,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Crashlands,1,0,2,1,2,1,1,1,3,1,5,3,0,0,4,2,0,1,0,2,0,2,1,1,1,1,4,2,5,4,2,0,0,0,2,0,3,1,0,2,1,3,2,0,4,2,4,4,4,2,3,0,0,0,4,0,0,0,0,0,0,0,1,5
Crawl,6,0,9,3,6,2,5,2,9,6,12,10,1,0,5,3,0,1,6,6,2,7,4,4,8,2,10,6,4,9,6,0,1,2,6,0,7,4,2,2,2,8,3,0,7,5,9,10,6,3,4,0,1,1,8,0,4,1,0,1,1,1,3,4
Creatures Exodus,5,2,10,3,8,2,2,2,5,1,17,8,0,0,12,7,1,2,9,11,7,2,1,2,4,0,10,3,13,9,7,0,3,1,5,2,12,9,5,10,5,16,10,1,10,11,13,14,12,10,9,0,3,0,14,0,3,0,0,1,3,1,1,11
Creatures Village,6,0,4,1,5,0,0,1,1,0,6,3,0,0,5,2,2,4,4,5,5,1,0,1,1,0,5,0,3,5,6,1,0,0,0,0,3,2,1,2,2,5,2,1,5,3,5,6,5,3,2,0,2,1,5,0,1,1,0,0,1,1,0,4
Creatures: The Albian Years,9,0,7,5,19,0,1,4,10,5,33,15,0,1,21,22,2,6,17,23,13,4,2,6,9,1,21,5,17,18,17,2,1,3,7,1,30,21,13,23,14,32,22,1,20,27,28,28,29,23,20,0,8,2,28,1,11,1,1,2,2,0,5,21
Crime Cities,0,0,2,0,2,0,0,1,2,0,3,3,0,0,2,2,0,0,2,2,1,1,0,0,0,0,2,0,3,2,1,0,0,0,1,0,3,0,0,1,1,3,0,0,1,2,3,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,3
Crimsonland,6,1,15,5,7,1,4,5,14,8,23,14,4,1,8,6,0,1,7,8,3,4,6,15,9,1,16,4,17,15,9,2,1,1,13,3,18,15,4,6,5,18,10,0,17,10,15,15,13,10,12,0,4,0,22,0,7,3,2,1,3,1,2,10
Crimzon Clover: World Ignition,2,0,6,0,1,0,0,4,7,5,9,7,0,0,3,1,0,0,2,1,0,3,5,6,2,0,8,3,9,9,6,1,1,0,7,2,6,4,2,2,1,5,2,0,9,2,7,7,2,2,5,0,0,0,8,0,0,0,0,0,0,0,4,2
Crookz - The Big Heist,1,0,3,1,4,1,1,0,5,1,7,5,0,0,3,1,0,0,3,4,0,2,1,0,2,0,6,0,4,7,4,0,1,0,3,0,4,4,0,3,1,5,2,0,5,3,7,6,6,3,6,0,0,0,7,0,0,0,0,1,0,0,1,6
CrossCode,12,0,14,5,13,2,3,4,17,8,23,20,2,0,13,7,1,4,8,14,9,10,3,3,7,1,19,6,14,20,14,0,1,1,13,2,12,6,3,5,3,15,7,0,19,9,16,18,12,7,9,0,2,0,18,0,3,0,0,0,1,1,7,14
Crossing Souls,5,3,7,2,6,2,2,2,6,4,12,8,0,0,8,6,0,1,7,7,6,3,2,4,4,1,8,5,7,9,4,0,1,1,5,3,10,6,5,8,6,10,7,0,6,8,12,10,9,8,7,0,5,0,9,0,5,1,1,3,2,1,3,7
Crossing Souls Demo,1,0,2,0,1,0,0,1,1,0,4,1,0,0,3,2,0,0,0,2,0,0,0,1,2,0,2,0,2,2,1,0,0,0,1,0,4,2,0,3,3,4,3,0,2,3,4,4,3,3,2,0,2,1,4,0,0,0,1,1,0,0,0,2
Crusader Kings Complete,2,0,5,0,2,0,0,1,5,3,7,4,0,0,3,2,0,0,1,3,0,2,1,1,2,0,5,0,6,5,4,0,0,0,4,1,6,6,2,2,1,6,1,0,4,4,7,7,5,4,5,0,0,0,5,0,1,0,0,0,0,0,2,3
Crusader: No Regret™,7,0,14,4,12,3,3,3,20,9,32,23,1,0,18,12,1,4,12,15,7,11,9,13,10,0,20,4,22,22,13,0,1,5,18,3,22,17,7,14,9,25,15,0,22,16,27,27,24,14,19,1,6,2,27,2,6,0,2,1,1,1,7,15
Crusader: No Remorse™,35,3,49,19,45,7,17,12,67,42,90,70,7,2,37,27,6,8,53,44,30,45,33,23,34,2,69,15,58,65,48,2,8,11,56,7,46,33,18,22,16,55,28,4,53,34,57,59,41,26,37,0,4,2,65,1,23,1,7,6,4,2,36,54
Crusaders of Might and Magic,14,4,21,6,17,2,5,3,23,12,44,21,3,3,16,19,1,2,14,20,10,10,5,6,9,2,33,9,31,29,18,0,5,1,21,4,38,28,16,23,19,40,22,1,31,31,37,39,31,25,25,0,14,4,39,0,15,2,4,4,6,1,4,18
Crypt of the NecroDancer,6,2,12,4,7,7,8,0,12,5,19,13,0,1,9,6,1,1,5,9,4,6,4,4,2,1,11,4,7,13,8,0,1,2,9,2,15,9,8,9,4,15,8,0,14,11,15,15,12,9,12,0,2,0,17,0,4,3,0,2,1,1,3,6
Crypt of the NecroDancer - Extras,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Crypt of the NecroDancer: AMPLIFIED,1,0,3,0,2,2,2,0,3,2,3,2,0,0,1,2,0,0,2,1,1,2,1,1,1,0,1,0,1,2,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,2,1,2,2,0,0,2,0,2,0,0,0,0,1,0,0,1,2
Crypt of the Necrodancer - Danny Baranowsky Soundtrack,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
Crypt of the Necrodancer - Extended Soundtrack,1,0,1,1,1,2,2,0,2,2,2,2,0,0,2,0,0,0,0,1,0,1,2,1,1,0,1,0,1,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0
Crypt of the Necrodancer - Extended Soundtrack 2,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
Cryptark,4,1,6,0,4,0,0,2,9,2,9,6,0,0,4,2,0,0,5,5,4,2,2,4,2,0,7,1,6,7,4,0,0,0,5,0,6,6,3,3,1,9,3,0,7,5,7,9,7,4,6,0,0,1,9,0,2,0,1,1,0,0,1,6
Crysis Warhead®,3,0,6,1,4,1,1,1,7,2,10,7,0,0,5,3,1,2,4,6,3,4,1,0,2,0,10,0,8,8,4,0,1,1,4,0,8,5,3,5,1,8,5,2,7,7,9,9,7,4,6,0,0,0,8,1,3,0,1,0,1,0,2,8
Crysis®,17,1,29,7,16,1,4,4,39,17,51,36,0,2,22,14,2,4,19,23,13,17,8,17,16,3,38,11,27,37,26,1,3,3,27,5,36,30,15,19,10,40,19,0,37,26,42,43,31,25,30,1,6,1,49,3,10,1,0,3,2,1,13,27
Crystal Caves,2,0,1,1,2,0,1,4,3,1,11,4,0,0,2,3,0,0,3,3,2,2,2,1,2,0,7,4,6,7,1,0,0,0,2,1,10,8,4,9,6,10,6,0,9,9,10,10,8,9,9,0,2,0,10,0,8,0,0,0,0,0,1,4
Cultist Simulator,4,1,9,2,10,1,1,6,15,2,42,14,1,1,23,28,0,4,10,18,8,4,1,6,4,2,19,7,33,28,10,0,1,0,6,2,40,33,17,32,19,44,34,0,27,36,42,42,41,36,34,0,8,0,41,0,13,0,0,1,4,1,1,31
Cultures 1+2,6,2,8,2,6,1,2,1,12,5,19,9,1,0,7,10,1,2,6,7,4,3,0,3,4,0,16,2,12,13,9,2,1,1,5,2,13,11,6,11,5,16,10,0,13,17,15,14,14,14,13,0,3,2,17,1,4,2,2,2,1,0,1,9
Cultures: Northland + 8th Wonder of the World,4,0,3,2,3,0,0,0,3,2,8,4,0,0,4,4,1,2,3,4,3,2,0,2,2,0,7,0,4,5,4,0,0,0,4,0,6,4,4,6,3,7,6,0,7,7,7,7,7,6,5,0,1,1,7,0,3,1,0,0,1,0,1,3
Cuphead,50,6,63,36,58,31,39,8,83,58,105,82,1,3,51,34,13,18,52,57,38,58,32,27,43,4,88,26,59,81,57,10,15,19,61,8,57,43,23,31,18,65,30,6,69,42,69,71,45,35,50,4,14,5,74,5,17,2,4,1,8,3,40,55
Cuphead OST,3,0,3,3,3,4,4,0,2,3,4,4,0,0,3,1,0,0,2,3,2,1,1,1,0,0,4,1,0,2,3,0,0,0,3,0,2,1,0,1,0,0,0,0,2,1,2,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,3,2
Cyberia,1,0,2,0,3,1,1,1,5,1,10,4,0,0,3,8,0,0,2,3,2,0,1,1,1,0,4,0,7,4,3,0,0,0,2,0,9,8,7,7,4,9,8,0,5,9,9,9,9,8,8,0,2,0,9,0,1,0,0,1,0,0,1,7
Cyberia 2: Resurrection,0,0,2,0,3,1,1,0,5,1,7,5,0,0,2,4,0,0,2,3,1,1,1,0,2,1,5,2,4,4,2,0,0,0,2,0,7,6,2,6,4,7,5,0,5,6,7,7,5,6,6,0,3,1,7,0,4,0,0,0,1,0,1,3
D&D Stronghold: Kingdom Simulator,5,1,10,1,6,0,1,3,13,3,17,8,1,0,9,6,0,1,2,9,1,7,3,5,5,2,15,6,11,12,5,1,3,0,7,0,14,12,4,6,3,15,7,0,12,9,14,14,11,8,13,1,3,2,18,1,4,0,0,0,0,0,0,10
D4: Dark Dreams Don't Die - Season One,5,2,7,2,4,2,2,3,7,2,15,5,0,1,9,7,0,0,3,9,2,1,1,1,2,1,12,2,11,11,7,0,0,0,6,1,14,10,3,8,4,15,10,0,12,11,15,15,11,11,9,0,2,0,14,0,3,1,0,1,0,0,0,8
D4: Dark Dreams Don't Die - Season One - Deluxe Edition,2,0,1,2,2,0,0,0,2,0,2,1,0,0,3,1,2,2,2,2,2,2,0,0,1,0,2,2,1,2,2,0,1,2,0,0,1,0,0,1,0,1,0,1,1,1,1,2,3,0,1,0,1,0,1,0,0,0,0,0,0,1,0,3
D4: Dark Dreams Don't Die - Season One - Deluxe Edition Upgrade,0,0,1,0,0,1,1,0,1,0,2,1,1,0,1,0,0,0,0,1,0,1,0,2,0,0,0,2,1,2,0,0,0,0,1,0,2,1,0,2,0,2,1,0,2,1,2,2,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0
D: The Game,0,0,4,1,2,1,1,2,5,1,12,9,1,0,6,10,0,1,3,5,2,1,0,1,0,0,2,0,11,5,2,0,0,0,1,0,11,9,6,9,4,11,11,0,7,10,10,10,12,11,10,0,1,0,10,0,2,0,0,0,0,0,1,6
DEADBOLT,2,0,6,0,2,1,1,2,8,3,12,8,4,0,3,5,0,2,0,2,2,3,6,8,2,0,7,0,12,6,1,1,0,0,7,0,11,7,4,5,1,11,6,0,6,5,11,11,8,8,10,0,1,0,11,0,2,0,0,0,0,0,1,5
DEFCON,3,1,14,1,7,3,5,8,16,7,25,18,4,1,5,7,0,1,9,5,3,9,6,7,5,2,17,7,21,18,9,0,0,0,12,0,22,17,11,11,6,20,11,0,16,14,22,25,14,12,19,0,7,3,22,2,5,5,1,2,2,0,4,11
DOOM II + Final DOOM,6,1,15,4,8,3,5,7,18,8,24,16,6,1,9,9,2,2,8,10,5,7,11,13,5,1,14,3,22,19,6,0,1,1,16,1,18,14,4,8,4,20,11,0,17,11,17,18,13,11,14,1,4,1,22,1,3,0,1,1,3,1,3,12
DROD 1+2+3,4,0,7,3,6,0,1,3,6,4,9,7,0,0,6,2,0,0,6,5,4,4,4,1,2,0,7,2,5,8,6,0,0,0,5,0,3,3,0,2,1,4,2,0,5,3,5,5,5,2,4,0,0,1,6,0,0,1,1,0,1,0,2,7
DROD 4: Gunthro and the Epic Blunder,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
DROD RPG: Tendry's Tale,0,0,1,0,2,0,0,0,2,0,3,1,0,0,3,2,0,0,2,3,0,1,0,0,0,0,1,0,3,1,1,0,0,0,1,0,2,1,0,2,1,3,1,0,1,2,3,3,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,3
DROD: The Second Sky,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Daikatana,13,8,37,6,20,3,7,11,47,13,78,38,5,5,23,40,2,1,18,27,11,10,18,31,13,6,46,15,56,46,24,2,4,1,16,2,71,65,42,52,39,74,49,0,43,64,75,76,66,59,62,4,19,9,75,5,21,2,7,8,6,3,4,37
Dangerous Dave Pack,2,0,4,1,2,1,2,2,4,2,5,3,2,0,3,1,1,1,1,2,1,2,0,3,1,0,4,0,4,4,2,1,0,1,3,0,3,3,0,1,1,3,1,0,3,2,3,3,2,1,3,0,0,0,4,0,1,0,0,0,0,0,0,1
Dark Fall 2: Lights Out,1,0,2,1,1,0,1,5,4,0,10,5,2,0,4,6,0,1,3,3,1,1,0,2,0,0,6,2,6,7,1,0,0,0,2,0,9,9,6,7,3,9,8,0,3,7,9,9,7,6,9,0,1,0,8,0,6,1,0,0,2,0,0,4
Dark Fall 3: Lost Souls,0,0,1,0,0,0,0,1,1,1,5,2,1,0,2,3,0,0,0,1,0,0,0,0,1,0,2,1,5,2,1,0,0,0,1,0,5,5,2,3,3,5,5,0,2,4,4,4,4,5,4,0,1,0,5,0,4,0,0,0,0,0,0,4
Dark Fall: The Journal,1,0,6,0,6,1,3,7,4,0,14,9,2,0,7,8,0,0,4,7,4,1,1,2,1,0,9,4,12,13,7,1,1,1,2,1,13,8,1,10,5,15,11,0,10,12,15,15,13,9,7,1,2,1,12,0,7,0,1,0,1,1,1,10
Dark Reign + Expansion,9,2,12,5,14,4,5,5,27,11,36,21,0,0,12,12,1,1,15,15,9,16,7,7,11,4,28,10,22,29,16,0,1,0,17,2,26,19,15,17,9,29,21,0,31,23,28,28,23,22,24,1,6,4,34,1,11,1,1,6,6,1,11,16
Dark Reign 2,6,1,7,1,7,2,6,2,12,8,23,15,0,2,5,6,0,0,9,7,6,8,2,1,10,1,15,6,11,18,11,0,2,1,11,2,15,14,10,12,3,17,11,0,16,15,15,16,14,12,11,1,2,0,21,0,6,0,2,2,5,0,6,10
Darkest Dungeon,13,6,41,13,31,5,8,7,93,14,100,55,8,2,47,60,3,3,27,41,19,40,22,19,14,3,43,10,87,49,20,2,6,4,18,5,87,75,46,70,42,94,70,1,48,84,100,98,83,78,92,2,25,9,88,1,14,4,3,5,6,3,10,64
Darkest Dungeon - Musketeer,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Darkest Dungeon Soundtrack,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Darkest Dungeon: The Color Of Madness,1,0,2,1,0,0,0,0,3,1,5,1,0,0,0,3,0,0,0,0,0,1,2,2,3,1,4,3,2,3,1,1,1,0,3,0,5,4,4,5,2,4,4,0,3,4,5,5,4,4,4,0,3,3,6,1,2,0,0,0,1,0,1,2
Darkest Dungeon: The Crimson Court,0,0,3,1,5,0,1,2,7,2,10,6,0,0,5,6,0,0,4,5,2,4,2,1,1,0,5,0,8,5,1,0,1,0,3,0,7,6,3,5,5,9,6,0,5,7,9,9,7,7,9,0,0,0,8,0,1,0,0,0,0,0,1,6
Darkest Dungeon: The Shieldbreaker,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Darkest Hour: A Hearts of Iron Game,4,0,6,2,4,0,1,0,6,2,9,7,0,1,5,1,0,1,3,6,2,3,0,1,1,0,8,0,7,8,7,0,0,1,8,0,6,5,1,2,0,7,3,0,8,3,7,7,4,3,6,0,0,0,7,0,0,0,0,0,0,0,1,6
Darklands,15,2,29,10,28,2,5,8,40,17,54,45,2,2,27,22,2,3,29,32,17,17,17,9,14,2,40,7,29,32,21,0,2,6,23,5,35,26,10,24,14,41,22,0,28,31,44,46,35,26,31,2,8,5,44,4,17,1,3,3,9,2,16,38
Darksiders II: Deathinitive Edition,17,1,14,5,15,2,2,5,33,15,46,24,1,2,15,20,2,3,14,18,10,12,7,11,11,2,29,13,23,27,23,2,4,5,21,5,38,36,25,28,20,41,27,2,30,30,41,41,29,30,36,2,15,10,45,2,16,1,5,2,3,1,8,17
Darksiders Warmastered Edition,9,0,17,7,12,5,7,3,32,5,31,23,2,1,17,16,6,5,11,18,7,13,8,12,6,1,25,6,25,24,10,1,4,3,16,2,26,16,10,17,13,28,18,2,27,18,33,33,26,17,26,1,6,1,29,2,6,0,1,0,6,4,6,18
Darkstar One,20,1,36,8,20,2,3,15,57,19,78,44,2,0,33,31,0,1,22,31,13,18,13,19,22,0,52,13,55,58,36,1,3,3,29,2,62,52,31,37,17,67,38,0,57,53,70,70,51,44,52,2,11,2,71,1,15,6,2,1,5,2,9,32
Darkstone,21,0,20,8,27,2,8,6,26,20,43,36,3,0,20,14,6,7,28,28,18,15,5,4,22,4,37,12,25,34,32,2,3,4,31,2,25,13,7,12,9,31,11,2,34,17,28,29,22,12,16,0,6,2,35,1,12,1,1,0,5,2,14,20
Darkwood,1,2,9,2,7,2,3,6,12,4,21,13,8,0,9,10,1,2,5,6,4,4,2,7,5,1,12,7,18,15,6,0,0,0,2,3,20,11,4,16,8,20,18,0,9,14,19,20,16,16,15,1,4,3,19,1,11,0,2,3,3,1,5,12
Day of the Tentacle Remastered,14,4,21,4,24,3,9,5,29,17,45,29,1,1,23,19,2,5,22,25,14,12,7,10,15,3,39,10,20,36,25,1,3,2,27,3,35,30,16,24,15,38,26,1,39,30,38,40,30,28,29,2,8,4,42,3,15,1,1,2,4,0,10,20
Dead Cells,8,2,23,4,17,3,3,4,32,10,38,26,3,1,16,12,1,1,14,17,11,17,16,12,12,1,27,10,29,28,15,0,4,2,18,2,28,19,10,14,4,31,14,0,19,17,33,33,30,16,25,2,3,2,33,2,7,0,1,4,2,0,8,24
Dead Cells OST,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Dead In Vinland,3,0,8,0,5,0,0,1,12,3,16,8,1,0,10,10,0,0,3,7,2,5,1,0,3,1,7,4,14,9,4,0,1,0,5,2,15,10,6,11,6,15,10,0,5,13,15,15,14,12,13,0,2,0,15,0,2,2,0,0,1,1,2,10
Dead Space™,8,3,22,4,19,6,7,10,38,12,63,39,13,3,25,39,1,3,11,24,8,9,16,30,11,0,29,9,54,29,16,1,3,1,19,4,55,41,20,36,19,55,46,1,30,45,57,58,47,40,46,1,14,6,57,3,18,1,4,3,4,1,6,37
Dead State: Reanimated,6,1,14,0,7,0,0,8,25,9,35,14,12,0,10,22,0,2,5,10,6,7,4,24,8,1,13,7,29,16,8,0,0,0,9,0,38,27,19,24,13,37,29,1,20,30,34,34,29,28,28,1,8,3,38,1,12,1,3,3,5,1,1,20
Dead Synchronicity: Tomorrow Comes Today,3,1,6,2,4,1,2,2,4,3,10,5,0,0,9,5,1,0,3,6,4,2,0,1,0,0,8,2,7,6,4,0,0,0,4,1,7,6,4,6,4,9,5,1,5,7,8,8,9,5,7,0,1,0,9,0,2,0,0,0,1,0,2,8
Dead in Vinland – The Vallhund,1,0,0,1,1,0,0,0,0,0,2,1,0,0,2,1,1,1,1,2,1,0,0,0,0,1,1,0,1,2,1,0,0,1,0,0,1,1,0,1,0,1,1,0,2,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1
Deadlight: Director's Cut,21,5,32,15,21,9,12,8,44,25,67,41,8,5,36,32,8,9,19,27,15,28,9,28,22,6,49,25,48,45,29,1,6,8,35,6,54,44,30,38,21,54,38,2,47,39,58,58,50,43,48,2,22,7,58,5,19,1,4,9,2,0,11,32
Deadlock 2: Shrine Wars,3,1,7,2,4,2,1,0,7,3,16,7,0,0,7,3,0,1,5,7,2,5,1,3,4,0,14,7,5,13,9,2,0,0,7,0,13,11,5,7,4,14,10,0,11,11,15,15,13,10,9,1,3,2,14,0,6,0,1,2,3,0,3,9
Deadlock: Planetary Conquest,10,1,13,5,16,3,5,3,15,11,29,19,0,1,15,8,3,3,17,18,9,8,1,4,11,3,28,6,15,20,15,0,3,6,19,1,14,13,5,8,5,19,12,0,17,13,19,20,19,12,10,1,4,2,24,3,7,1,1,0,4,0,10,13
Deadly Premonition: Director's Cut,6,4,17,7,16,3,4,4,40,9,54,19,2,2,13,37,3,3,16,14,11,9,7,24,8,1,25,9,35,28,11,1,4,4,13,2,55,47,34,40,27,57,43,2,27,50,56,57,51,45,52,6,21,9,51,6,19,1,8,6,6,2,5,32
"Deadly Tower of Monsters, The",2,0,5,0,4,0,0,2,6,3,10,6,0,0,4,3,0,0,2,7,1,1,2,1,1,0,9,1,6,8,5,0,0,0,5,0,9,5,2,5,2,8,3,0,9,5,9,10,5,6,7,0,1,0,10,0,2,0,0,1,0,0,1,6
Deadnaut,0,0,4,0,2,0,0,1,7,0,10,3,0,0,3,7,0,1,2,2,1,0,1,1,0,0,3,1,8,5,1,0,0,0,1,0,9,9,4,8,5,10,9,0,5,10,10,10,9,10,10,0,1,1,7,0,2,0,1,0,1,0,0,5
Dear Esther: Landmark Edition,9,1,9,8,15,3,5,2,5,4,19,8,0,1,17,12,1,8,12,15,11,3,3,1,2,0,12,2,6,14,13,0,2,1,6,2,11,7,5,10,8,18,9,0,7,14,12,15,14,10,9,0,5,0,10,0,2,1,1,1,0,0,2,17
Death Road to Canada,5,0,7,1,6,1,4,3,13,8,15,12,3,0,8,2,0,0,7,7,3,8,4,5,6,2,13,3,9,11,8,0,1,0,9,0,9,8,2,3,1,9,5,0,12,5,7,7,7,3,6,0,0,0,12,1,4,2,0,0,1,0,4,8
Death to Spies,0,2,1,1,1,0,0,5,8,1,13,6,3,1,1,8,1,1,2,2,2,3,3,9,2,1,5,2,9,5,1,0,1,1,2,1,12,11,7,11,6,12,11,0,4,11,12,12,11,11,11,0,3,0,13,0,7,1,0,1,2,0,1,6
Death to Spies: Moment of Truth,1,0,2,1,3,1,1,2,4,3,6,5,0,1,2,2,0,0,2,3,1,1,4,4,0,0,2,0,6,4,2,0,0,0,3,1,5,4,1,2,1,4,2,0,4,2,5,5,2,2,4,0,0,0,5,0,1,0,0,0,0,0,0,4
Death's Gambit,4,0,6,0,6,1,2,0,12,1,18,7,0,0,11,12,0,0,5,10,5,4,2,7,2,0,6,5,12,9,4,0,0,0,6,0,15,14,9,14,10,18,13,0,7,16,18,18,17,14,15,0,7,3,17,0,4,0,0,1,1,0,0,12
Deathtrap,1,0,1,1,2,2,2,1,5,2,9,5,1,0,2,5,0,0,3,2,0,4,0,4,0,0,5,2,5,6,2,0,0,2,1,0,8,8,5,6,4,8,8,0,4,8,9,8,8,7,8,1,3,2,8,0,2,0,1,1,2,0,2,4
Deathtrap Dungeon,3,0,4,1,1,0,0,4,8,2,19,6,1,0,2,9,1,1,2,3,1,2,3,0,4,3,16,5,12,12,8,0,1,0,7,0,15,14,7,11,8,18,12,1,13,16,17,17,18,14,14,0,4,0,18,0,9,0,0,1,5,0,0,7
Deep Sky Derelicts,4,0,8,1,6,0,1,4,9,4,14,10,0,0,9,4,1,1,4,9,2,5,2,1,3,0,11,3,10,11,8,1,1,1,7,1,10,7,2,5,2,11,6,1,10,9,12,13,12,6,9,0,1,0,14,1,1,0,0,0,2,0,1,9
Defender of the Crown,0,0,3,0,5,0,0,3,7,0,13,6,1,0,4,9,0,1,5,4,2,1,1,1,3,0,10,1,6,10,5,0,0,0,4,1,13,8,6,9,5,14,9,0,8,12,13,13,13,10,10,0,3,0,13,0,4,0,1,0,2,0,0,8
Defender's Quest,31,2,41,7,25,2,9,14,56,28,70,55,1,2,26,8,1,3,25,28,14,36,17,5,29,1,64,16,39,62,47,2,4,3,47,2,46,32,13,18,3,48,21,1,48,28,54,54,29,20,33,1,3,1,64,0,13,0,1,2,5,1,19,40
Delta Force,3,0,5,1,3,0,0,1,7,1,12,7,0,0,5,6,0,1,4,4,1,1,5,6,4,0,8,4,7,9,5,1,1,0,5,1,11,9,4,3,2,11,3,0,10,4,10,10,8,4,9,0,2,1,11,0,3,0,0,0,1,1,1,4
Delta Force 2,1,0,3,0,1,1,1,0,4,1,5,4,1,0,1,2,0,0,1,1,0,4,1,3,1,1,5,3,3,5,2,0,0,0,4,0,5,5,0,2,1,4,2,0,5,2,5,5,4,2,4,0,1,1,5,0,2,0,2,2,1,0,0,1
Delta Force Xtreme,0,0,1,0,1,0,0,0,2,1,3,2,1,0,1,3,0,0,2,1,0,1,2,2,0,0,1,2,2,1,0,0,0,0,1,0,5,4,4,4,2,4,3,0,0,3,5,5,4,3,5,1,3,2,5,1,1,0,0,0,0,0,2,4
Delta Force: Black Hawk Down Platinum Pack,2,1,5,0,0,1,1,1,7,4,8,5,0,1,1,3,0,0,2,0,0,3,6,6,1,1,4,2,7,7,3,0,0,0,3,0,8,6,4,5,1,7,4,0,6,4,9,9,6,5,5,0,1,0,9,0,2,0,1,0,0,0,0,3
Delta Force: Land Warrior,0,0,2,0,0,0,0,0,4,0,4,2,1,0,1,2,0,0,0,0,0,0,2,2,1,0,2,0,3,2,1,0,0,0,0,0,4,4,0,2,0,3,4,0,2,4,4,4,4,4,4,0,0,0,4,0,1,0,0,0,1,0,0,2
Delta Force: Task Force Dagger,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,0,2,0,0,0,0,0,0,0,0,1
Democracy 3,6,1,18,2,2,0,0,5,18,6,29,10,0,2,4,10,0,0,3,4,3,4,2,8,9,0,18,11,18,20,12,2,3,0,9,2,29,25,17,19,11,30,18,0,19,24,26,26,21,22,22,0,4,1,29,0,10,2,1,4,1,0,1,17
Democracy 3: Africa,2,0,2,0,0,0,0,1,3,1,4,1,0,0,0,1,0,0,1,1,0,1,2,1,2,0,2,1,2,3,2,0,0,0,2,0,4,3,3,3,2,4,4,0,2,3,5,5,3,4,3,1,2,1,5,0,1,1,1,1,1,0,1,2
